Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time updated(days)
Financial,1366227257,1414703014,City of Oakland Proposed Policy Budget FY2013-15,642,15769,"['budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/City-of-Oakland-Proposed-Policy-Budget-FY2013-15/b8mb-8tti,1426521841,1838,1838
Public Safety,1358971390,1524924060,CrimeWatch Maps Past 90-Days,3658,13527,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/CrimeWatch-Maps-Past-90-Days/ym6k-rx7a,1426521839,1922,1
Infrastructure,1366135056,1522413430,Service requests received by the Oakland Call Center,1143,12830,"['public works', 'service requests', 'pot holes', 'illegal dumping', 'maintenance', 'transporation', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/Service-requests-received-by-the-Oakland-Call-Cent/quth-gb8e,1491954484,1839,30
Infrastructure,1363734611,1414725798,Service requests received by Public Works,563,7634,"['public works', 'service requests', 'pot holes', 'illegal dumping', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/Service-requests-received-by-Public-Works/j4xf-2t25,1426521840,1867,1867
Environmental,1358885493,1414647713,Oakland Street Trees,686,6888,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Environmental/Oakland-Street-Trees/4jcx-enxf,1426521840,1923,1923
Public Safety,1434559472,1436914768,All license plate reader data (ALPR) 3/19/2014-3/31/2014,365,4596,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-3-19-2014-3-31-/wy2w-ue82,1436907018,1047,1047
Environmental,1358483748,1414726110,Public Works Volunteer Opportunities,479,3782,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Environmental/Public-Works-Volunteer-Opportunities/sduu-bfki,1426521840,1928,1913
Public Services,1385510573,1414778268,Drainage Inlets,419,3085,"['drain', 'inlet', 'drainage inlets', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Drainage-Inlets/vi6t-i2f3,1385511212,1615,1615
Public Safety,1390344376,1414647003,Crimewatch Data 2013,531,3029,"['crime', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/Crimewatch-Data-2013/4yez-5h4p,1390344898,1559,1559
Financial,1395444862,1414777831,City of Oakland Adopted Policy Budget FY13-15,349,3024,"['financial', 'budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/City-of-Oakland-Adopted-Policy-Budget-FY13-15/vmzx-e5fe,1426521847,1500,1500
Financial,1430328034,1430425538,Proposed Budget for Fiscal Years 2015-2017,511,2941,"['budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/Proposed-Budget-for-Fiscal-Years-2015-2017/w4j2-chmt,1430424408,1096,1096
Financial,1401384875,1414702762,Campaign Finance - Filers with Delinquent Campaign Filings,277,2792,"['fppc', 'public ethics commission', 'pec', 'campaign finance', 'non-filers', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/Campaign-Finance-Filers-with-Delinquent-Campaign-F/8wxr-skhx,1402526389,1431,1431
Public Safety,1393022782,1414647230,Crimewatch Data 2012,451,2497,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/Crimewatch-Data-2012/8ch4-94cx,1393276389,1528,1528
Financial,1427409480,1427412314,Five-Year Financial Forecast 2016-2020,357,1708,"['budget', 'finance', 'survey', 'five-year', 'forecast', 'financial', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/Five-Year-Financial-Forecast-2016-2020/ecpp-i5de,1427409692,1130,1130
Financial,1425316607,1425322094,Budget Data For Public Adopted FY2014-15 Midcycle Budget,235,1526,"['budget', 'finance', 'midcycle budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/Budget-Data-For-Public-Adopted-FY2014-15-Midcycle-/d46c-ikcm,1425317488,1154,1154
Public Safety,1434551060,1440171916,All license plate reader data (ALPR) 8/26/2012-9/19/2012,261,1410,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-8-26-2012-9-19-/bd9f-4pn8,1440171539,1047,1047
Public Safety,1434574409,1434582370,"All License Plate Reader Data (ALPR) September 23, 2012 - October 20, 2012",267,1402,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-License-Plate-Reader-Data-ALPR-September-23-20/6dab-n9nd,1434577858,1047,1047
Public Services,1448929477,1448939326,PRR #10437,198,1397,"['crime statistics', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/PRR-10437/pzvh-xrum,1448931047,881,881
Public Safety,1437155119,1437159084,All license plate reader data (ALPR)  4/1/14 thru 5/31/14,304,1379,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-4-1-14-thru-5-3/7axi-hi5i,1437156642,1017,1017
Financial,1432679751,1432681936,PRR 9545 - Street Sweeping 2013 - 2015 05.08.2015,654,1326,"['prr 9545', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/PRR-9545-Street-Sweeping-2013-2015-05-08-2015/aqjd-9iht,1432680970,1069,1069
Public Safety,1434550595,1440171916,All license plate reader data (ALPR) 8/6/2012-8/12/2012,307,1314,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-8-6-2012-8-12-2/gyu7-qpwz,1440171547,1047,1047
Public Services,1445273184,1445276251,Shotspotter Data 1-1-13 To 12-31-14,221,1261,"['shotspotter', 'shot spotter', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Shotspotter-Data-1-1-13-To-12-31-14/tjvx-uwhe,1445274020,923,923
Public Safety,1434558826,1440171698,All license plate reader data (ALPR) 12/19/2013-1/31/2014,264,1239,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-12-19-2013-1-31/h4qp-hsyy,1440171507,1047,1047
Public Safety,1434491935,1440172529,All license plate reader data (ALPR)  12-23-2010 thru 01-19-2011,278,1204,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-12-23-2010-thru/t7dd-x7dh,1440171561,1048,1048
Infrastructure,1358885192,1414778610,Traffic Signals,451,1191,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/Traffic-Signals/wm75-yhqe,1426521841,1923,1923
Financial,1431980087,1432053623,FY14-15 Midcycle to FY15-17 Proposed Budget Comparison,213,1184,"['budget', 'proposed', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/FY14-15-Midcycle-to-FY15-17-Proposed-Budget-Compar/exad-dv4t,1431984694,1077,1077
Public Safety,1434557566,1440171725,All license plate reader data (ALPR) 3/1/2013-4/1/2013,266,1180,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-3-1-2013-4-1-20/m64r-jeei,1440171527,1047,1047
Public Safety,1434555185,1440171916,All license plate reader data (ALPR) 10/20/2012-11/20/2012,260,1147,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-10-20-2012-11-2/cyhz-jk8v,1440171535,1047,1047
Public Services,1359610151,1414727800,Parks and Recreation Facilities,459,1141,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Parks-and-Recreation-Facilities/qyh9-i9dw,1426521839,1915,1915
Public Safety,1434556911,1440171726,All license plate reader data (ALPR) 11/20/2012-12/31/2012,243,1074,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-11-20-2012-12-3/jxx3-67d2,1440171532,1047,1047
Infrastructure,1361601342,1414778445,5-Yr Moratorium for City Streets,436,1055,"['streets', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/5-Yr-Moratorium-for-City-Streets/tt6i-5mkh,1426521844,1892,1892
Public Safety,1462391857,1462400738,Crime Data 2015,234,1034,"['crime', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/Crime-Data-2015/957n-urxz,1462392023,725,725
Public Safety,1434476325,1436914588,All license plate reader data (ALPR) 04/01/2014 thru 05/31/2014,232,1024,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-04-01-2014-thru/k76g-27ne,1436906919,1048,1048
Public Services,1445341926,1445344580,1 Jan - 30 June 2014 Calls For Service,213,1017,"['calls for service', 'cad', 'computer automated dispatch', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/1-Jan-30-June-2014-Calls-For-Service/pkus-tkkj,1445342541,922,922
Public Safety,1434549285,1440171921,All license plate reader data (ALPR) 7/6/2011-12/19/2011,241,1000,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-7-6-2011-12-19-/7xz6-yzxz,1440171558,1047,1047
Public Services,1445342727,1445345157,1 July - 31 Dec 2014 Calls For Service,225,998,"['calls for service', 'cad', 'computer automated dispatch', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/1-July-31-Dec-2014-Calls-For-Service/bxx7-dhj7,1445344137,922,922
Public Services,1445306305,1445308110,1 Jan - 30 June 2015 Calls For Service,200,979,"['calls for service', 'cad', 'computer aided dispatch', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/1-Jan-30-June-2015-Calls-For-Service/b2rw-8xy8,1445306745,923,923
Public Safety,1434549912,1436914785,All license plate reader data (ALPR) 5/13/2012-7/3/2012,248,973,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-5-13-2012-7-3-2/f28j-9q95,1436907065,1047,1047
Public Services,1445345240,1445347813,1 July - 31 Dec 2013 Calls For Service,199,956,"['calls for service', 'cad', 'computer aided dispatch', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/1-July-31-Dec-2013-Calls-For-Service/8gxj-qj4g,1445345588,922,922
Public Services,1444938488,1444975106,Jan 2014 To May 2015,228,918,"['crime statistics', 'stop reports data', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Jan-2014-To-May-2015/k7tz-66t7,1445254538,927,927
Public Services,1445305407,1445307940,1 July - 15 Oct 2015 Calls For Service,200,890,"['calls for service. cad. computer automated dispatch', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/1-July-15-Oct-2015-Calls-For-Service/qp9y-yz7w,1445305807,923,923
Public Services,1445345696,1445348080,1 Jan - 30 June 2013 Calls For Service,202,879,"['calls for service', 'cad', 'computer aided dispatch', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/1-Jan-30-June-2013-Calls-For-Service/gfxb-p5wr,1445346143,922,922
Public Services,1445346951,1445349292,Stop Data April 2013 To Sept. 2015,249,863,"['stop data', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Stop-Data-April-2013-To-Sept-2015/6cc3-wwew,1445350691,922,922
Education,1357780011,1414708163,Oakland Unified Schools,472,858,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Education/Oakland-Unified-Schools/dxdg-872h,1426521840,1936,1936
Public Services,1445255007,1445256534,April 2013 To Dec 2013,215,796,"['stop reports data', 'prr 10628', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/April-2013-To-Dec-2013/seht-r45z,1445267721,923,923
Financial,1447695221,1447711285,Budget Data For Public Adopted FY2015-17 Biennial,193,791,"['budget', 'fy', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/Budget-Data-For-Public-Adopted-FY2015-17-Biennial/urid-amga,1447695633,895,895
Public Safety,1359007855,1414647849,Problem Solving Officer Directory,531,738,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/Problem-Solving-Officer-Directory/65yj-mc7w,1426521841,1922,1922
Public Services,1445298870,1445300224,Shotspotter Data 8-16-15 To 9-15-15,195,701,"['shotspotter', 'shot spotter data', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Shotspotter-Data-8-16-15-To-9-15-15/45hc-hrd3,1445298940,923,923
City Government,1462376664,1462389462,Oakland Workforce Demographics As Of 12-31-2015,159,650,"['city employees', 'workforce demographics', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/City-Government/Oakland-Workforce-Demographics-As-Of-12-31-2015/8vvs-nwsi,1462381096,725,725
Public Safety,1361598456,1414647215,Fire Station Locations,357,590,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/Fire-Station-Locations/58ik-33wk,1426521842,1892,1892
Public Services,1445299152,1445300307,Shotspotter Data 9-16-15 To 10-6-15,227,569,"['shotspotter', 'shot spotter data', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Shotspotter-Data-9-16-15-To-10-6-15/5twe-qh79,1445299221,923,923
Public Services,1471565278,1471735013,Jun 2014 - May 2015,58,539,"['parking tickets', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Jun-2014-May-2015/6tgq-hkug,1471565726,619,619
Public Safety,1359001455,1414777747,NCPC Meeting Roster,455,514,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/NCPC-Meeting-Roster/uyih-vzuc,1426521839,1922,1891
Education,1357777011,1414727185,Head Start Locations,384,514,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Education/Head-Start-Locations/h2rc-b7xm,1426521841,1936,1936
Public Services,1471567980,1471735907,Jun 2016 - 15 Aug 2016,54,505,"['parking tickets', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Jun-2016-15-Aug-2016/dhbb-3q5u,1471568131,619,619
Public Services,1358921016,1414777542,Oakland Public Library Branch Locations And Hours,343,503,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Oakland-Public-Library-Branch-Locations-And-Hours/wakt-xmha,1426521842,1923,1923
Infrastructure,1361601939,1414778610,Current Paving Contracts,378,497,"['streets', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/Current-Paving-Contracts/vrkv-jmjc,1426521844,1892,1892
Public Services,1471567382,1471735287,Jun 2015 - May 2016,64,467,"['parking citations', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Jun-2015-May-2016/pb8z-ry5n,1471567715,619,619
Environmental,1358565026,1414647553,Oakland Certified Green Businesses,407,417,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Environmental/Oakland-Certified-Green-Businesses/7quj-zssa,1426521844,1927,1927
Public Services,1408483170,1415300683,2014 Lobbyist Activity,296,374,"['ethics', 'open government', 'lobbyist', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/2014-Lobbyist-Activity/gg3z-zvmb,1415300679,1349,1270
Public Services,1445294905,1445296246,Shotspotter Data 8-1-15 To 8-31-15,192,345,"['shotspotter', 'shot spotter data', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Shotspotter-Data-8-1-15-To-8-31-15/w77u-8dmu,1445295091,923,923
Public Safety,1434550826,1439919572,All license plate reader data (ALPR) 9/15/2012,246,333,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-9-15-2012/vwcs-329i,1439918656,1047,1047
Public Services,1361597711,1414646097,Boards & Commissions,398,302,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Boards-Commissions/67wz-betr,1426521845,1892,1892
Public Services,1363735972,1414702518,Wildfire Prevention Assessment District Engineering Budget,359,226,"['wpad', 'budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Wildfire-Prevention-Assessment-District-Engineerin/b9mi-cs4z,1426521844,1867,1867
Public Services,1408483700,1415300652,2014 Lobbyist Directory,300,224,"['ethics', 'transparency', 'open government', 'lobbyist', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/2014-Lobbyist-Directory/7jq6-spyn,1415300609,1349,1270
City Government,1467417554,1467418238,Oakland SB 272 Enterprise IT Systems Catalog,117,210,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/City-Government/Oakland-SB-272-Enterprise-IT-Systems-Catalog/98qm-7hcy,1467418126,667,667
Life Enrichment,1432760126,1432761154,FY14-15 Cultural Funding Program Grant Recommendations,227,195,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Life-Enrichment/FY14-15-Cultural-Funding-Program-Grant-Recommendat/gbwk-gp4h,1432760488,1068,1068
City Government,1498515068,1519775558,2017 Ticket Distribution List,42,185,"['2017 ticket distribution list', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/City-Government/2017-Ticket-Distribution-List/9nhw-cn5u,1519775466,307,61
Public Safety,1375830013,1414777530,2013 Large National Night Out Parties By Organization,347,175,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/2013-Large-National-Night-Out-Parties-By-Organizat/udg4-vz9p,1426521846,1727,1727
Financial,1493328927,1493428603,FY2017-19 Mayor's Proposed Budget Expenditures,18,123,"['budget', 'proposed budget', 'expenditures', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/FY2017-19-Mayor-s-Proposed-Budget-Expenditures/4ewt-5m6f,1493428580,367,367
City Government,1519686228,1523571711,2018 Ticket Distribution,8,75,"['tickets', 'sports', 'events', 'oracle', 'coliseum', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/City-Government/2018-Ticket-Distribution/cpz7-h9w5,1523571704,62,17
Public Services,1504897898,1504898743,Records For 2016,12,64,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Records-For-2016/34sw-6tcv,1504898817,233,233
Public Services,1504879541,1504880202,Records For 2015,10,54,"['crime statistics', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Records-For-2015/67h3-nsvn,1504886848,233,233
Public Services,1504274417,1504301099,Records For 2012,7,52,"['prr 20055', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Records-For-2012/j862-c4uv,1504305617,240,240
Public Services,1504623152,1504623452,Records For 2013,6,31,"['crime statistics', 'prr 20055', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Records-For-2013/wb7f-ju26,1504623446,236,236
Public Services,1510240379,1510241713,PRR 2635 2010,7,12,"['crime lab employees', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/PRR-2635-2010/a9v6-d9br,1510240936,171,171