Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Building and Planning,1427849469,1522945797,Building Permit Applications,1249,7773,"['building', 'permits', 'construction', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Building-and-Planning/Building-Permit-Applications/aac9-hxa9,1522942748,1125,25
Public Safety,1464836664,1478918940,2015 Calls For Service,86,7370,"['calls for service', 'response', 'welfare', 'water', 'court order', 'theft', 'response time', 'vandal', 'tree', 'collision', 'injury', 'branch', 'hazard', 'trespass', 'transient', 'homeless', 'threat', 'ticket', 'suspicious', '911', 'solicitor', 'speed', 'reckless', 'shots', 'code', 'parking', 'animal', 'check', 'alarm', 'loitering', 'medical', 'citizen', 'kidnap', 'assist', 'juvenile', 'burglary', 'battery', 'civil', 'coroner', 'disturbance', 'drug', 'drunk', 'fire', 'fireworks', 'flagged', 'property', 'fraud', 'hit and run', 'traffic', 'indecent', 'info', 'vehicle', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2015-Calls-For-Service/j2b6-y49i,1478918928,697,697
Public Safety,1464836275,1493327518,2015 - 2016 Traffic Stops,92,4602,"['traffic', 'traffic stop', 'citation', 'warning', 'vehicle stop', 'car stop', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2015-2016-Traffic-Stops/vpgw-gzd9,1493327439,697,367
Public Safety,1470089208,1470090576,2015 Citations,93,3030,"['citations', 'cite', 'cites', 'ticket', 'tickets', 'speed', 'violation', 'issue', 'issued', 'enforcement', 'traffic', 'stops', 'streets', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2015-Citations/m8ww-9sgn,1471289079,636,636
Government,1445276900,1454365386,Agreements/Contracts,200,1159,"['contracts', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Government/Agreements-Contracts/bjr8-qr8g,1454364038,923,818
Public Safety,1465226708,1465228407,"2015 Department Personnel Demographics: Sex, Race and Education Levels",103,829,"['personnel', 'demographics', 'sex', 'gender', 'race', 'ethnicity', 'education level', 'education', 'bachelor', 'master', 'doctoral', 'high school', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2015-Department-Personnel-Demographics-Sex-Race-an/r93z-fskk,1468437752,692,692
Public Safety,1470085809,1493325808,2015 -2016 Pedestrian Contacts,57,619,"['pedestrian', 'ped', 'pstop', 'stop', 'stops', 'pedestrian contacts', 'contacts', 'police contact', 'foot patrol', 'police', 'policing', 'field interview', 'walk', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2015-2016-Pedestrian-Contacts/usff-8ap2,1493325732,636,367
Public Safety,1470078901,1493326380,2015 - 2016 Bicycle Contacts,44,338,"['bicycle contacts', 'contacts', 'bike contact', 'bicyclist', 'bicycle', 'bike', 'stops', '2015', 'bstop', 'bstops', 'stop', 'police', 'enforcement', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2015-2016-Bicycle-Contacts/ar57-vxmf,1493326320,636,367
Public Safety,1505758032,1505775006,"2014 - August 1st, 2017 Collisions",5,41,"['traffic', 'safe routes', 'bike', 'bicycle', 'crash', 'accident', 'collision', 'collisions', 'accidents', 'crashes', 'cars', 'vehicles', 'roadways', 'roads', 'road', 'roadway', 'injuries', 'fatalities', 'motor vehicles', 'motorcycle', 'safe streets', 'school collisions', 'bicycle collisions', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Public-Safety/2014-August-1st-2017-Collisions/kzsy-v9fv,1505774978,223,223
Sustainability,1492569770,1497580608,Menlo Park Transportation Fuel-method,6,21,"['transportation', 'fuel', 'gasoline', 'emissions', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Sustainability/Menlo-Park-Transportation-Fuel-method/ufu8-jidj,1497580496,376,318
Sustainability,1492573860,1492573985,Menlo Park Annual Community Summary,5,12,"['carbon dioxide equivalent', 'co2e', 'emissions', 'community', 'sustainability', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Sustainability/Menlo-Park-Annual-Community-Summary/jtb2-yycu,1492573988,376,376
Sustainability,1492572059,1492574129,Menlo Park Solid Waste Sector,5,11,"['solid waste', 'landfill', 'disposal', 'garbage', 'municipal solid waste', 'public', 'data', 'statistics', 'dataset']",https://data.menlopark.org/Sustainability/Menlo-Park-Solid-Waste-Sector/vty8-cehr,1492574125,376,376